vx_drone2,vy_drone2,time
0.030001,0.0750025000000004,2
0.030001,0.0750025000000004,2
0.030001,0.0750025000000004,2
0.030001,0.0750025000000003,2
0.030001,0.628568571428571,2
0.030001,0.628568571428571,2
0.030001,0.628568571428571,2
0.030001,0.628568571428571,2
0.030001,0.628568571428571,2
0.030001,0.628568571428571,2
0.744443333333334,0.628568571428571,2
0.744443333333334,0,2
0.744443333333334,0,2
0.744443333333334,0,2
0.744443333333334,0,2
0.744443333333334,0,2
0.744443333333334,0,2
0.744443333333334,0,2
0.744443333333334,0,2
